filename,passed,num_attempts,num_llm_queries,experience_PR,stack_PR,unstack_PR,pick_up_PR,put_down_PR
instance-124.pddl,True,2,3,0.0,0.0,0.0,0.0,0.0
instance-312.pddl,True,2,3,0.0,0.0,0.0,0.0,0.0
instance-362.pddl,True,2,3,0.0,0.0,0.0,0.0,0.0
instance-223.pddl,True,2,3,0.34210526315789475,0.0,0.0,1.0,0.0
instance-79.pddl,True,1,0,0.35,0.0,0.0,1.0,0.0
instance-426.pddl,True,1,0,0.3333333333333333,0.0,0.0,1.0,0.0
instance-273.pddl,True,1,0,0.3181818181818182,0.0,0.0,1.0,0.0
instance-41.pddl,True,1,0,0.30434782608695654,0.0,0.0,1.0,0.0
instance-5.pddl,True,1,0,0.3125,0.0,0.0,1.0,0.0
instance-170.pddl,True,1,0,0.32,0.0,0.0,1.0,0.0
instance-74.pddl,True,2,3,0.26229508196721313,0.0,0.0,1.0,0.0
instance-219.pddl,True,1,0,0.26153846153846155,0.0,0.0,1.0,0.0
instance-444.pddl,True,1,0,0.2608695652173913,0.0,0.0,1.0,0.0
instance-64.pddl,True,1,0,0.2602739726027397,0.0,0.0,1.0,0.0
instance-236.pddl,True,1,0,0.2727272727272727,0.0,0.0,1.0,0.0
instance-176.pddl,True,3,6,0.22105263157894736,0.0,0.0,1.0,0.0
instance-203.pddl,True,2,3,0.29245283018867924,0.0,0.0,1.0,1.0
instance-407.pddl,True,1,0,0.2909090909090909,0.0,0.0,1.0,1.0
instance-297.pddl,True,1,0,0.2982456140350877,0.0,0.0,1.0,1.0
instance-433.pddl,True,2,3,0.312,0.0,0.0,1.0,1.0
instance-391.pddl,False,5,15,0.58125,0.62,0.0,1.0,1.0
instance-306.pddl,False,5,15,0.5384615384615384,0.62,0.0,1.0,1.0
instance-232.pddl,True,1,0,0.5422885572139303,0.62,0.0,1.0,1.0
instance-451.pddl,True,1,0,0.5410628019323671,0.62,0.0,1.0,1.0
instance-48.pddl,False,5,15,0.5247933884297521,0.62,0.0,1.0,1.0
instance-42.pddl,True,1,0,0.5282258064516129,0.62,0.0,1.0,1.0
instance-115.pddl,True,1,0,0.5354330708661418,0.62,0.0,1.0,1.0
instance-35.pddl,True,4,9,0.5373665480427047,0.62,0.0,1.0,1.0
instance-140.pddl,True,2,3,0.5476190476190477,0.62,0.0,1.0,1.0
instance-184.pddl,True,3,6,0.5414012738853503,0.62,0.0,1.0,1.0
